,gameid,blue_top_player,blue_top_champion,blue_jng_player,blue_jng_champion,blue_mid_player,blue_mid_champion,blue_bot_player,blue_bot_champion,blue_sup_player,blue_sup_champion,red_top_player,red_top_champion,red_jng_player,red_jng_champion,red_mid_player,red_mid_champion,red_bot_player,red_bot_champion,red_sup_player,red_sup_champion,top_counter_winrate,mid_counter_winrate,jng_counter_winrate,bot_counter_winrate,sup_counter_winrate,result
434,ESPORTSTMNT02/1333463,0.2222222222222222,0.5,0.2222222222222222,0.5009009009009009,0.2222222222222222,0.4954819277108434,0.2222222222222222,0.4547069271758437,0.3,0.4416135881104034,0.5777777777777777,0.46741154562383613,0.5434782608695652,0.4339622641509434,0.5531914893617021,0.5,0.5625,0.5021551724137931,0.5681818181818182,0.4489795918367347,0.4482758620689655,0.55,0.75,0.47692307692307695,0.42857142857142855,1
435,ESPORTSTMNT02/1331463,0.25,0.47989276139410186,0.1111111111111111,0.44473684210526315,0.125,0.4666666666666667,0.2857142857142857,0.4547069271758437,0.25,0.49852507374631266,0.5,0.46741154562383613,0.45454545454545453,0.4329608938547486,0.23076923076923078,0.5073375262054507,0.42857142857142855,0.0,0.5,0.4266666666666667,0.5932203389830508,0.4,0.5294117647058824,0.0,0.5,0
436,NA1/3298688746,0.0,0.4189189189189189,0.5,0.4954954954954955,0.4444444444444444,0.4426877470355731,0.5666666666666667,0.5130434782608696,0.6,0.4946091644204852,0.16666666666666666,0.44970414201183434,0.16666666666666666,0.375,0.16666666666666666,0.5555555555555556,0.2,0.487778958554729,0.3333333333333333,0.5690376569037657,0.0,0.0,0.25,0.6296296296296297,0.6410256410256411,0
437,ESPORTSTMNT03/1335313,0.6666666666666666,0.6666666666666666,0.7692307692307693,0.5161290322580645,0.8333333333333334,0.4426877470355731,0.7142857142857143,0.4838709677419355,0.7142857142857143,0.6721311475409836,0.5,0.4462809917355372,0.5294117647058824,0.4886731391585761,0.47368421052631576,0.5,0.47368421052631576,0.47107438016528924,0.47368421052631576,0.4030612244897959,1.0,0.43478260869565216,0.59375,0.40789473684210525,0.6666666666666666,1
438,ESPORTSTMNT02/1280856,0.6666666666666666,0.5103626943005182,0.5789473684210527,0.4817432273262662,0.5789473684210527,0.44029850746268656,0.7777777777777778,0.4663805436337625,0.6470588235294118,0.4543010752688172,0.5384615384615384,0.4604105571847507,0.52,0.4647058823529412,0.5384615384615384,0.5259259259259259,0.52,0.4728213977566868,0.5294117647058824,0.413447782546495,0.4962962962962963,0.3333333333333333,0.5353535353535354,0.4111111111111111,0.3055555555555556,1
439,ESPORTSTMNT06/1300810,0.5,0.3774104683195592,0.52,0.47639484978540775,0.6470588235294118,0.4267515923566879,0.36363636363636365,0.4442916093535076,0.5,0.4940239043824701,0.18181818181818182,0.39655172413793105,0.3448275862068966,0.4552238805970149,0.3333333333333333,0.42857142857142855,0.4117647058823529,0.4728213977566868,0.3333333333333333,0.413447782546495,0.0,0.3333333333333333,0.5,0.4626865671641791,0.42857142857142855,0
440,ESPORTSTMNT05/1440690,0.47368421052631576,0.5508982035928144,0.47368421052631576,0.47639484978540775,0.47368421052631576,0.4954819277108434,0.47368421052631576,0.4663805436337625,0.35714285714285715,0.4940239043824701,0.7142857142857143,0.5909090909090909,0.7142857142857143,0.3673469387755102,0.7272727272727273,0.42857142857142855,0.7272727272727273,0.5204991087344029,0.7142857142857143,0.5044326241134752,1.0,0.5,0.3333333333333333,0.5317919075144508,0.538961038961039,1
441,ESPORTSTMNT01/1306370,0.4883720930232558,0.5454545454545454,0.43243243243243246,0.5231788079470199,0.4864864864864865,0.4420289855072464,0.4634146341463415,0.47530864197530864,0.5652173913043478,0.4940239043824701,0.5777777777777777,0.46741154562383613,0.5434782608695652,0.49563318777292575,0.5531914893617021,0.5,0.5625,0.487778958554729,0.5681818181818182,0.46601941747572817,0.7142857142857143,0.3333333333333333,0.7,0.5,0.5714285714285714,1
442,ESPORTSTMNT06/1320222,0.6,0.5103626943005182,0.5,0.4817432273262662,0.35294117647058826,0.4666666666666667,0.3684210526315789,0.4838709677419355,0.23529411764705882,0.4940239043824701,0.5172413793103449,0.5058365758754864,0.5172413793103449,0.45883777239709445,0.52,0.4641638225255973,0.46153846153846156,0.4640250260688217,0.4375,0.5044326241134752,0.45689655172413796,0.36,0.4217687074829932,0.4864864864864865,0.538961038961039,1
443,ESPORTSTMNT02/1270716,0.35,0.5492957746478874,0.42857142857142855,0.552870090634441,0.39285714285714285,0.5813953488372093,0.2222222222222222,0.4838709677419355,0.4117647058823529,0.4543010752688172,0.7,0.46741154562383613,0.7142857142857143,0.45454545454545453,0.7142857142857143,0.41836734693877553,0.7142857142857143,0.487778958554729,0.7142857142857143,0.4904891304347826,0.6428571428571429,1.0,0.46153846153846156,0.5287356321839081,0.47191011235955055,1
444,ESPORTSTMNT03/1443553,0.2692307692307692,0.4711111111111111,0.2916666666666667,0.45164835164835165,0.2692307692307692,0.5,0.21428571428571427,0.5288461538461539,0.2692307692307692,0.4543010752688172,0.4864864864864865,0.5420560747663551,0.5714285714285714,0.625,0.4864864864864865,0.42857142857142855,0.48,0.4640250260688217,0.4444444444444444,0.413447782546495,0.42857142857142855,0.2,0.5,0.5547445255474452,0.3055555555555556,1
445,ESPORTSTMNT01/1540517,0.6111111111111112,0.5508982035928144,0.6666666666666666,0.4331896551724138,0.6111111111111112,0.4429530201342282,0.6111111111111112,0.4838709677419355,0.6111111111111112,0.47058823529411764,0.3333333333333333,0.5058365758754864,0.5,0.5129533678756477,0.5,0.47560975609756095,0.5,0.49712643678160917,0.5,0.4904891304347826,0.7058823529411765,1.0,0.45901639344262296,0.4,0.5,1
446,NA1/3445794873,0.3235294117647059,0.4885386819484241,0.3225806451612903,0.4574314574314574,0.3225806451612903,0.4666666666666667,0.35,0.43103448275862066,0.28125,0.4940239043824701,0.38461538461538464,0.5420560747663551,0.3181818181818182,0.459915611814346,0.4864864864864865,0.4801699716713881,0.2962962962962963,0.4728213977566868,0.5,0.5411471321695761,0.5,0.4166666666666667,0.5121951219512195,0.44680851063829785,0.6,0
